grant_title,id,total_amount,group,start_year,centroid,parameter
chinacamp,1,216,low,2015,6.8,ph
gallinascreek,2,217,low,2015,6.8,ph
gallinascreek,3,7,high,2015,3.5,ph
tiburon,4,184,low,2015,6.8,ph
tiburon,5,21,high,2015,3.5,ph
tiburon,6,2,high,2015,10.1,ph
carquinez,7,111,low,2015,6.8,ph
carquinez,8,1,high,2015,3.5,ph
chinacamp,9,27,low,2016,6.8,ph
chinacamp,10,1,medium,2016,5.7,ph
chinacamp,11,78,high,2016,3.5,ph
gallinascreek,12,26,low,2016,6.8,ph
gallinascreek,13,2,medium,2016,5.7,ph
gallinascreek,14,78,high,2016,3.5,ph
tiburon,15,80,low,2016,6.8,ph
tiburon,16,10,high,2016,3.5,ph
tiburon,17,27,medium,2016,8.7,ph
tiburon,18,6,high,2016,10.1,ph
carquinez,19,124,low,2016,6.8,ph
chinacamp,20,9,low,2015,0,turbidity
chinacamp,21,102,medium,2015,34,turbidity
chinacamp,22,45,high,2015,68,turbidity
chinacamp,23,22,medium,2015,136,turbidity
chinacamp,24,38,high,2015,238,turbidity
gallinascreek,25,120,medium,2015,34,turbidity
gallinascreek,26,81,high,2015,68,turbidity
gallinascreek,27,21,medium,2015,136,turbidity
gallinascreek,28,2,high,2015,238,turbidity
tiburon,29,200,medium,2015,34,turbidity
tiburon,30,4,high,2015,68,turbidity
tiburon,31,3,high,2015,238,turbidity
carquinez,32,112,medium,2015,34,turbidity
chinacamp,33,15,medium,2016,34,turbidity
chinacamp,34,39,high,2016,68,turbidity
chinacamp,35,28,medium,2016,136,turbidity
chinacamp,36,24,high,2016,238,turbidity
gallinascreek,37,22,medium,2016,34,turbidity
gallinascreek,38,64,high,2016,68,turbidity
gallinascreek,39,7,medium,2016,136,turbidity
gallinascreek,40,13,high,2016,238,turbidity
tiburon,41,93,medium,2016,34,turbidity
tiburon,42,14,high,2016,68,turbidity
tiburon,43,8,medium,2016,136,turbidity
tiburon,44,8,high,2016,238,turbidity
carquinez,45,124,medium,2016,34,turbidity
fortpoint,46,214,low,2015,2.9,chlorophyll
tiburon,47,131,low,2015,2.9,chlorophyll
tiburon,48,69,median,2015,3.9,chlorophyll
tiburon,49,7,high,2015,5.5,chlorophyll
carquinez,50,112,low,2015,2.9,chlorophyll
fortpoint,51,133,low,2016,2.9,chlorophyll
tiburon,52,48,low,2016,2.9,chlorophyll
tiburon,53,58,median,2016,3.9,chlorophyll
tiburon,54,9,high,2016,5.5,chlorophyll
tiburon,55,8,high,2016,25.5,chlorophyll
chinacamp,56,261,medium,2013,34,turbidity
gallinascreek,57,248,medium,2013,34,turbidity
chinacamp,58,261,low,2013,6.8,ph
gallinascreek,59,237,low,2013,6.8,ph
gallinascreek,60,10,medium,2013,8.7,ph
gallinascreek,61,1,high,2013,10.1,ph
chinacamp,62,199,low,2013,64,temp
chinacamp,63,61,medium,2013,53,temp
chinacamp,64,1,high,2013,121,temp
gallinascreek,65,199,low,2013,64,temp
gallinascreek,66,47,medium,2013,53,temp
gallinascreek,67,2,high,2013,31,temp
chinacamp,68,173,low,2015,64,temp
chinacamp,69,37,medium,2015,53,temp
chinacamp,70,6,high,2015,121,temp
gallinascreek,71,178,low,2015,64,temp
gallinascreek,72,46,medium,2015,53,temp
tiburon,73,176,low,2015,64,temp
tiburon,74,31,medium,2015,53,temp
carquinez,75,81,low,2015,64,temp
carquinez,76,31,medium,2015,53,temp
fortpoint,77,182,low,2015,64,temp
fortpoint,78,32,medium,2015,53,temp
sfbaypier17a,79,172,low,2015,64,temp
sfbaypier17a,80,31,medium,2015,53,temp
sfbaysanmateobridge,81,194,low,2015,64,temp
sfbaysanmateobridge,82,32,medium,2015,53,temp
sfbaydumbartonbridge,83,122,low,2015,64,temp
sfbaydumbartonbridge,84,12,medium,2015,53,temp
chinacamp,85,67,low,2016,64,temp
chinacamp,86,39,medium,2016,53,temp
gallinascreek,87,71,low,2016,64,temp
gallinascreek,88,35,medium,2016,53,temp
tiburon,89,87,low,2016,64,temp
tiburon,90,36,medium,2016,53,temp
carquinez,91,81,low,2016,64,temp
carquinez,92,43,medium,2016,53,temp
fortpoint,93,87,low,2016,64,temp
fortpoint,94,38,medium,2016,53,temp
fortpoint,95,8,high,2016,31,temp
sfbaypier17a,96,57,low,2016,64,temp
sfbaypier17a,97,35,medium,2016,53,temp
sfbaypier17a,98,1,high,2016,121,temp
sfbaysanmateobridge,99,93,low,2016,64,temp
sfbaysanmateobridge,100,18,medium,2016,53,temp
sfbaydumbartonbridge,101,97,low,2016,64,temp
sfbaydumbartonbridge,102,36,medium,2016,53,temp
